ќтклонени€ измерений dTicks от ожидаемого значени€ 0
-----------------------------------------------------
      No         i    dTicks   sleepQuant  workQuant
                                  (мс)        (мс)
-----------------------------------------------------
       1         0       224     0.00016     0.023
       2         1        92     0.00007     0.000
       3         2        32     0.00002     0.000
       4         3        56     0.00004     0.000
       5         4        24     0.00002     0.000
       6         5        36     0.00003     0.000
       7         6        40     0.00003     0.000
       8         7        36     0.00003     0.000
       9         8        28     0.00002     0.000
      10         9        32     0.00002     0.000
      11        10        24     0.00002     0.000
      12        11        24     0.00002     0.000
      13        12        36     0.00003     0.000
      14        13        36     0.00003     0.000
      15        14        28     0.00002     0.000
      16        15        36     0.00003     0.000
      17        16        36     0.00003     0.000
      18        17        40     0.00003     0.000
      19        18        32     0.00002     0.000
      20        19        32     0.00002     0.000
      21        20        28     0.00002     0.000
      22        21        32     0.00002     0.000
      23        22        32     0.00002     0.000
      24        23        28     0.00002     0.000
      25        24        36     0.00003     0.000
      26        25        24     0.00002     0.000
      27        26        32     0.00002     0.000
      28        27        32     0.00002     0.000
      29        28         8     0.00001     0.000
      30        29        32     0.00002     0.000
      31        30        28     0.00002     0.000
      32        31        24     0.00002     0.000
      33        32        24     0.00002     0.000
      34        33        28     0.00002     0.000
      35        34        40     0.00003     0.000
      36        35        32     0.00002     0.000
      37        36        28     0.00002     0.000
      38        37        32     0.00002     0.000
      39        38        32     0.00002     0.000
      40        39        40     0.00003     0.000
      41        40        32     0.00002     0.000
      42        41        28     0.00002     0.000
      43        42        28     0.00002     0.000
      44        43        28     0.00002     0.000
      45        44        32     0.00002     0.000
      46        45        24     0.00002     0.000
      47        46        28     0.00002     0.000
      48        47        28     0.00002     0.000
      49        48        28     0.00002     0.000
      50        49        28     0.00002     0.000
      51        50        32     0.00002     0.000
      52        51        28     0.00002     0.000
      53        52        32     0.00002     0.000
      54        53        28     0.00002     0.000
      55        54        32     0.00002     0.000
      56        55        28     0.00002     0.000
      57        56        36     0.00003     0.000
      58        57        32     0.00002     0.000
      59        58        32     0.00002     0.000
      60        59        32     0.00002     0.000
      61        60        24     0.00002     0.000
      62        61        28     0.00002     0.000
      63        62        32     0.00002     0.000
      64        63        32     0.00002     0.000
      65        64        28     0.00002     0.000
      66        65        32     0.00002     0.000
      67        66        32     0.00002     0.000
      68        67        28     0.00002     0.000
      69        68        32     0.00002     0.000
      70        69        28     0.00002     0.000
      71        70        28     0.00002     0.000
      72        71        32     0.00002     0.000
      73        72        32     0.00002     0.000
      74        73        20     0.00001     0.000
      75        74        28     0.00002     0.000
      76        75        28     0.00002     0.000
      77        76        28     0.00002     0.000
      78        77        32     0.00002     0.000
      79        78        32     0.00002     0.000
      80        79        36     0.00003     0.000
      81        80        28     0.00002     0.000
      82        81        32     0.00002     0.000
      83        82        32     0.00002     0.000
      84        83        36     0.00003     0.000
      85        84        28     0.00002     0.000
      86        85        32     0.00002     0.000
      87        86        28     0.00002     0.000
      88        87        44     0.00003     0.000
      89        88        44     0.00003     0.000
      90        89        44     0.00003     0.000
      91        90        24     0.00002     0.000
      92        91        36     0.00003     0.000
      93        92        32     0.00002     0.000
      94        93        36     0.00003     0.000
      95        94        36     0.00003     0.000
      96        95        32     0.00002     0.000
      97        96        24     0.00002     0.000
      98        97        32     0.00002     0.000
      99        98        28     0.00002     0.000
     100        99        32     0.00002     0.000
     101       100        40     0.00003     0.000
     102       101        32     0.00002     0.000
     103       102        32     0.00002     0.000
     104       103        32     0.00002     0.000
     105       104        28     0.00002     0.000
     106       105        32     0.00002     0.000
     107       106        24     0.00002     0.000
     108       107        36     0.00003     0.000
     109       108        32     0.00002     0.000
     110       109        32     0.00002     0.000
     111       110        32     0.00002     0.000
     112       111        32     0.00002     0.000
     113       112        32     0.00002     0.000
     114       113        28     0.00002     0.000
     115       114        32     0.00002     0.000
     116       115        28     0.00002     0.000
     117       116        28     0.00002     0.000
     118       117        32     0.00002     0.000
     119       118        24     0.00002     0.000
     120       119        28     0.00002     0.000
     121       120        36     0.00003     0.000
